RUN	viade_es5b.PruebaAñadirAmigo	pruebaan-adiramigo	1587660754745	 	3.3.1
REQUEST	5		PruebaAñadirAmigo_11	1587660774347	1587660774377	OK	 
USER	PruebaAñadirAmigo	16	START	1587660774861	1587660774861
REQUEST	16		PruebaAñadirAmigo_0	1587660774862	1587660774903	OK	 
REQUEST	16		PruebaAñadirAmigo_1	1587660774904	1587660774910	OK	 
REQUEST	16		PruebaAñadirAmigo_2	1587660774911	1587660774917	OK	 
REQUEST	16		PruebaAñadirAmigo_3	1587660775082	1587660775116	OK	 
USER	PruebaAñadirAmigo	17	START	1587660775866	1587660775866
REQUEST	17		PruebaAñadirAmigo_0	1587660775868	1587660775920	OK	 
REQUEST	17		PruebaAñadirAmigo_1	1587660775921	1587660775926	OK	 
REQUEST	17		PruebaAñadirAmigo_2	1587660775927	1587660775937	OK	 
REQUEST	17		PruebaAñadirAmigo_3	1587660776106	1587660776142	OK	 
REQUEST	16		PruebaAñadirAmigo_4	1587660776116	1587660776143	OK	 
REQUEST	16		PruebaAñadirAmigo_5	1587660776143	1587660776148	OK	 
REQUEST	16		PruebaAñadirAmigo_6	1587660776150	1587660776190	OK	 
REQUEST	16		PruebaAñadirAmigo_7	1587660776191	1587660776197	OK	 
REQUEST	6		PruebaAñadirAmigo_8	1587660776163	1587660776231	OK	 
REQUEST	6		PruebaAñadirAmigo_9	1587660776232	1587660776240	OK	 
REQUEST	6		PruebaAñadirAmigo_10	1587660776241	1587660776247	OK	 
REQUEST	6		PruebaAñadirAmigo_11	1587660776346	1587660776390	OK	 
USER	PruebaAñadirAmigo	18	START	1587660776865	1587660776865
REQUEST	18		PruebaAñadirAmigo_0	1587660776866	1587660776923	OK	 
REQUEST	18		PruebaAñadirAmigo_1	1587660776923	1587660776929	OK	 
REQUEST	18		PruebaAñadirAmigo_2	1587660776930	1587660776938	OK	 
REQUEST	18		PruebaAñadirAmigo_3	1587660777102	1587660777133	OK	 
REQUEST	17		PruebaAñadirAmigo_4	1587660777145	1587660777151	OK	 
REQUEST	17		PruebaAñadirAmigo_5	1587660777152	1587660777155	OK	 
REQUEST	17		PruebaAñadirAmigo_6	1587660777155	1587660777190	OK	 
REQUEST	7		PruebaAñadirAmigo_8	1587660777176	1587660777220	OK	 
